Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|6666666.363677.peg.54	CDS	CP002976.1	60665	60063	-2	-	603	Acetyltransferase, GNAT family	- none -	 	 
fig|6666666.363677.peg.55	CDS	CP002976.1	61341	60703	-3	-	639	Acetyltransferase, GNAT family	- none -	 	 
fig|6666666.363677.peg.56	CDS	CP002976.1	61991	61446	-2	-	546	Acetyltransferase, GNAT family	- none -	 	 
fig|6666666.363677.peg.57	CDS	CP002976.1	63516	61993	-3	-	1524	Signal recognition particle protein Ffh	- none -	 	 
fig|6666666.363677.peg.58	CDS	CP002976.1	63578	63763	2	+	186	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.59	CDS	CP002976.1	64008	66002	3	+	1995	Elongation factor G-like protein RSP_2247	- none -	 	 
fig|6666666.363677.peg.60	CDS	CP002976.1	66058	66639	1	+	582	FIG042921: similarity to aminoacyl-tRNA editing enzymes YbaK, ProX	- none -	 	 
fig|6666666.363677.peg.61	CDS	CP002976.1	66746	67624	2	+	879	Transcriptional regulator, LysR family	- none -	 	 
fig|6666666.363677.peg.62	CDS	CP002976.1	67621	68529	1	+	909	Integral membrane protein	- none -	 	 
fig|6666666.363677.peg.63	CDS	CP002976.1	68883	68536	-3	-	348	Transcriptional regulator, ArsR family	CBSS-1085.1.peg.1363	 	 
fig|6666666.363677.peg.64	CDS	CP002976.1	68980	69873	1	+	894	Permease of the drug/metabolite transporter (DMT) superfamily	- none -	 	 
fig|6666666.363677.peg.65	CDS	CP002976.1	70079	70414	2	+	336	ATP synthase protein I	F0F1-type ATP synthase	 	 
fig|6666666.363677.peg.66	CDS	CP002976.1	70442	71245	2	+	804	ATP synthase F0 sector subunit a (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|6666666.363677.peg.67	CDS	CP002976.1	71303	71527	2	+	225	ATP synthase F0 sector subunit c (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|6666666.363677.peg.68	CDS	CP002976.1	71614	72159	1	+	546	ATP synthase F0 sector subunit b&#39; (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|6666666.363677.peg.69	CDS	CP002976.1	72164	72724	2	+	561	ATP synthase F0 sector subunit b (EC 3.6.3.14)	F0F1-type ATP synthase	 	 
fig|6666666.363677.peg.70	CDS	CP002976.1	72913	73662	1	+	750	transferase hexapeptide repeat	- none -	 	 
fig|6666666.363677.peg.71	CDS	CP002976.1	74592	73699	-3	-	894	Glycolate utilization operon transcriptional activator GlcC	Glycolate, glyoxylate interconversions	 	 
fig|6666666.363677.peg.72	CDS	CP002976.1	74628	74966	3	+	339	putative lipoprotein	- none -	 	 
fig|6666666.363677.peg.73	CDS	CP002976.1	75090	78545	3	+	3456	Chromosome partition protein smc	DNA structural proteins, bacterial	 	 
fig|6666666.363677.peg.74	CDS	CP002976.1	78604	79071	1	+	468	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.75	CDS	CP002976.1	79135	79524	1	+	390	FIG00989612: hypothetical protein	- none -	 	 
fig|6666666.363677.peg.76	CDS	CP002976.1	80737	79565	-1	-	1173	Membrane-bound lytic murein transglycosylase B	- none -	 	 
fig|6666666.363677.peg.77	CDS	CP002976.1	81688	80777	-1	-	912	Adenosylcobinamide-phosphate synthase (EC 6.3.1.10)	Cobalamin synthesis	 	 
fig|6666666.363677.peg.78	CDS	CP002976.1	82647	81685	-3	-	963	L-threonine 3-O-phosphate decarboxylase (EC 4.1.1.81)	Cobalamin synthesis	 	 
fig|6666666.363677.peg.79	CDS	CP002976.1	84037	83063	-1	-	975	Glutathione S-transferase, omega (EC 2.5.1.18)	CBSS-89187.3.peg.2957; <br>Glutathione: Non-redox reactions	 	 
fig|6666666.363677.peg.80	CDS	CP002976.1	84364	84726	1	+	363	hypothetical protein SKA53_09994	CBSS-89187.3.peg.2957	 	 
fig|6666666.363677.peg.81	CDS	CP002976.1	86055	84883	-3	-	1173	Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities	CBSS-89187.3.peg.2957	 	 
fig|6666666.363677.peg.82	CDS	CP002976.1	86153	86671	2	+	519	Peptide deformylase (EC 3.5.1.88)	CBSS-89187.3.peg.2957; <br>Translation termination factors bacterial	 	 
fig|6666666.363677.peg.83	CDS	CP002976.1	86747	87256	2	+	510	Peptide deformylase (EC 3.5.1.88)	CBSS-89187.3.peg.2957; <br>Translation termination factors bacterial	 	 
fig|6666666.363677.peg.84	CDS	CP002976.1	87253	87750	1	+	498	Peptide deformylase (EC 3.5.1.88)	CBSS-89187.3.peg.2957; <br>Translation termination factors bacterial	 	 
fig|6666666.363677.peg.85	CDS	CP002976.1	87790	88725	1	+	936	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	CBSS-89187.3.peg.2957; <br>Translation initiation factors bacterial	 	 
fig|6666666.363677.peg.86	CDS	CP002976.1	88738	88974	1	+	237	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.87	CDS	CP002976.1	89615	88992	-2	-	624	UPF0126 inner membrane protein CC_3680	- none -	 	 
fig|6666666.363677.peg.88	CDS	CP002976.1	90079	89612	-1	-	468	Ribonuclease HI (EC 3.1.26.4)	CBSS-228410.1.peg.134; <br>CBSS-342610.3.peg.1536; <br>Ribonuclease H	 	 
fig|6666666.363677.peg.89	CDS	CP002976.1	90671	90072	-2	-	600	SAM-dependent methyltransferase	- none -	 	 
fig|6666666.363677.peg.90	CDS	CP002976.1	91120	90668	-1	-	453	Membrane protein	- none -	 	 
fig|6666666.363677.peg.91	CDS	CP002976.1	91734	91117	-3	-	618	Putative threonine efflux protein	- none -	 	 
fig|6666666.363677.peg.92	CDS	CP002976.1	92806	91856	-1	-	951	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4)	- none -	 	 
fig|6666666.363677.peg.93	CDS	CP002976.1	93566	92997	-2	-	570	Mll7752 protein	CBSS-176299.4.peg.1292	 	 
fig|6666666.363677.peg.94	CDS	CP002976.1	93706	94275	1	+	570	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	Folate Biosynthesis; <br>Folate biosynthesis cluster	 	 
fig|6666666.363677.peg.95	CDS	CP002976.1	94368	94721	3	+	354	DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)	CBSS-176299.4.peg.1292; <br>RNA polymerase bacterial	 	 
fig|6666666.363677.peg.96	CDS	CP002976.1	94762	96894	1	+	2133	Guanosine-3&#39;,5&#39;-bis(diphosphate) 3&#39;-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II	CBSS-176299.4.peg.1292; <br>CBSS-176299.4.peg.1292; <br>Stringent Response, (p)ppGpp metabolism; <br>Stringent Response, (p)ppGpp metabolism	 	 
fig|6666666.363677.peg.97	CDS	CP002976.1	96928	97581	1	+	654	identified by similarity to PIR:G97485	- none -	 	 
fig|6666666.363677.peg.98	CDS	CP002976.1	97681	98442	1	+	762	Pyridoxine 5&#39;-phosphate synthase (EC 2.6.99.2)	Pyridoxin (Vitamin B6) Biosynthesis	 	 
fig|6666666.363677.peg.99	CDS	CP002976.1	98502	98933	3	+	432	Holo-[acyl-carrier-protein] synthase (EC 2.7.8.7)	- none -	 	 
fig|6666666.363677.peg.100	CDS	CP002976.1	98997	99833	3	+	837	Signal peptidase I (EC 3.4.21.89)	CBSS-176299.4.peg.1292; <br>Signal peptidase	 	 
fig|6666666.363677.peg.101	CDS	CP002976.1	99830	100516	2	+	687	Ribonuclease III (EC 3.1.26.3)	CBSS-176299.4.peg.1292; <br>RNA processing and degradation, bacterial	 	 
fig|6666666.363677.peg.102	CDS	CP002976.1	100513	101418	1	+	906	GTP-binding protein Era	CBSS-176299.4.peg.1292; <br>Glycyl-tRNA synthetase containing cluster	 	 
fig|6666666.363677.peg.103	CDS	CP002976.1	101425	101754	1	+	330	ATP-dependent Zn proteases	- none -	 	 
fig|6666666.363677.peg.104	CDS	CP002976.1	101757	102482	3	+	726	DNA recombination and repair protein RecO	CBSS-176299.4.peg.1292; <br>DNA repair, bacterial RecFOR pathway; <br>Glycyl-tRNA synthetase containing cluster	 	 
fig|6666666.363677.peg.105	CDS	CP002976.1	102870	102466	-3	-	405	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.106	CDS	CP002976.1	104668	102983	-1	-	1686	Methylsuccinyl-CoA dehydrogenase, predicted by (Erb et al, 2007)	- none -	 	 
fig|6666666.363677.peg.107	CDS	CP002976.1	104815	105603	1	+	789	Membrane protein	- none -	 	 
fig|6666666.363677.peg.108	CDS	CP002976.1	105662	106561	2	+	900	Cobalt-zinc-cadmium resistance protein	Cobalt-zinc-cadmium resistance	 	 
fig|6666666.363677.peg.109	CDS	CP002976.1	108233	106635	-2	-	1599	Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)	Pyruvate metabolism I: anaplerotic reactions, PEP	 	 
fig|6666666.363677.peg.110	CDS	CP002976.1	108581	109282	2	+	702	DNA-binding response regulator ChvI	The Chv regulatory system of Alphaproteobacteria	 	 
fig|6666666.363677.peg.111	CDS	CP002976.1	109316	111028	2	+	1713	Sensor histidine kinase ChvG (EC 2.7.3.-)	The Chv regulatory system of Alphaproteobacteria	 	 
fig|6666666.363677.peg.112	CDS	CP002976.1	111131	111469	2	+	339	HPr kinase/phosphorylase	- none -	 	 
fig|6666666.363677.peg.113	CDS	CP002976.1	111462	112352	3	+	891	ATP-binding protein ManX	The Chv regulatory system of Alphaproteobacteria	 	 
fig|6666666.363677.peg.114	CDS	CP002976.1	112362	112769	3	+	408	PTS system permease (IIAMan), nitrogen regulatory IIA protein	The Chv regulatory system of Alphaproteobacteria	 	 
fig|6666666.363677.peg.115	CDS	CP002976.1	112770	113039	3	+	270	Phosphocarrier protein, nitrogen regulation associated	The Chv regulatory system of Alphaproteobacteria	 	 
fig|6666666.363677.peg.116	CDS	CP002976.1	113074	113964	1	+	891	Putative hemolysin	- none -	 	 
fig|6666666.363677.peg.117	CDS	CP002976.1	114932	114057	-2	-	876	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	Acetyl-CoA fermentation to Butyrate; <br>Butanol Biosynthesis; <br>Polyhydroxybutyrate metabolism	 	 
fig|6666666.363677.peg.118	CDS	CP002976.1	115088	115909	2	+	822	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.119	CDS	CP002976.1	116927	116001	-2	-	927	Electron transfer flavoprotein, alpha subunit	Acetyl-CoA fermentation to Butyrate	 	 
fig|6666666.363677.peg.120	CDS	CP002976.1	117685	116927	-1	-	759	Electron transfer flavoprotein, beta subunit	Acetyl-CoA fermentation to Butyrate	 	 
fig|6666666.363677.peg.121	CDS	CP002976.1	118591	118019	-1	-	573	ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17)	- none -	 	 
fig|6666666.363677.peg.122	CDS	CP002976.1	118801	118595	-1	-	207	FIG00993507: hypothetical protein	- none -	 	 
fig|6666666.363677.peg.123	CDS	CP002976.1	119699	118869	-2	-	831	Putative NAD(P)-dependent oxidoreductase EC-YbbO	- none -	 	 
fig|6666666.363677.peg.124	CDS	CP002976.1	120434	119733	-2	-	702	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.125	CDS	CP002976.1	120771	120562	-3	-	210	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.126	CDS	CP002976.1	120814	123096	1	+	2283	Topoisomerase IV subunit A (EC 5.99.1.-)	DNA topoisomerases, Type II, ATP-dependent; <br>Resistance to fluoroquinolones	 	 
fig|6666666.363677.peg.127	CDS	CP002976.1	123224	123835	2	+	612	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.128	CDS	CP002976.1	124081	123965	-1	-	117	FIG00917785: hypothetical protein	- none -	 	 
fig|6666666.363677.peg.129	CDS	CP002976.1	124097	125272	2	+	1176	Translation elongation factor Tu	Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins); <br>Translation elongation factors bacterial	 	 
fig|6666666.363677.peg.130	CDS	CP002976.1	126381	125671	-3	-	711	Protein of unknown function DUF374	- none -	 	 
fig|6666666.363677.peg.131	CDS	CP002976.1	128995	126803	-1	-	2193	TPR repeat protein	- none -	 	 
fig|6666666.363677.peg.132	CDS	CP002976.1	128951	129097	2	+	147	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.133	CDS	CP002976.1	129297	129494	3	+	198	Protein translocase subunit SecE	- none -	 	 
fig|6666666.363677.peg.134	CDS	CP002976.1	129738	130271	3	+	534	Transcription antitermination protein NusG	Transcription factors bacterial	 	 
fig|6666666.363677.peg.135	CDS	CP002976.1	130618	130331	-1	-	288	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.136	CDS	CP002976.1	130918	131343	1	+	426	LSU ribosomal protein L11p (L12e)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.137	CDS	CP002976.1	131345	132043	2	+	699	LSU ribosomal protein L1p (L10Ae)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.138	CDS	CP002976.1	132432	133007	3	+	576	LSU ribosomal protein L10p (P0)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.139	CDS	CP002976.1	133089	133463	3	+	375	LSU ribosomal protein L7p/L12p (P1/P2)	- none -	 	 
fig|6666666.363677.peg.140	CDS	CP002976.1	133738	137874	1	+	4137	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	Mycobacterium virulence operon involved in DNA transcription; <br>RNA polymerase bacterial	 	 
fig|6666666.363677.peg.141	CDS	CP002976.1	137926	142167	1	+	4242	DNA-directed RNA polymerase beta&#39; subunit (EC 2.7.7.6)	Mycobacterium virulence operon involved in DNA transcription; <br>RNA polymerase bacterial	 	 
fig|6666666.363677.peg.142	CDS	CP002976.1	142737	143561	3	+	825	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.143	CDS	CP002976.1	143558	144460	2	+	903	putative membrane protein	- none -	 	 
fig|6666666.363677.peg.144	CDS	CP002976.1	145243	144467	-1	-	777	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.145	CDS	CP002976.1	145658	146029	2	+	372	SSU ribosomal protein S12p (S23e)	Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins); <br>Ribosome SSU bacterial	 	 
fig|6666666.363677.peg.146	CDS	CP002976.1	146045	146515	2	+	471	SSU ribosomal protein S7p (S5e)	Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins); <br>Ribosome SSU bacterial	 	 
fig|6666666.363677.peg.147	CDS	CP002976.1	146534	148654	2	+	2121	Translation elongation factor G	Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins); <br>Translation elongation factor G family; <br>Translation elongation factors bacterial	 	 
fig|6666666.363677.peg.148	CDS	CP002976.1	148721	149896	2	+	1176	Translation elongation factor Tu	Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins); <br>Translation elongation factors bacterial	 	 
fig|6666666.363677.peg.149	CDS	CP002976.1	150175	151368	1	+	1194	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.150	CDS	CP002976.1	151624	151938	1	+	315	SSU ribosomal protein S10p (S20e)	Ribosome SSU bacterial	 	 
fig|6666666.363677.peg.151	CDS	CP002976.1	151956	152669	3	+	714	LSU ribosomal protein L3p (L3e)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.152	CDS	CP002976.1	152666	153283	2	+	618	LSU ribosomal protein L4p (L1e)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.153	CDS	CP002976.1	153280	153576	1	+	297	LSU ribosomal protein L23p (L23Ae)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.154	CDS	CP002976.1	153754	154611	1	+	858	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.155	CDS	CP002976.1	154859	155701	2	+	843	LSU ribosomal protein L2p (L8e)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.156	CDS	CP002976.1	155705	155983	2	+	279	SSU ribosomal protein S19p (S15e)	Ribosome SSU bacterial	 	 
fig|6666666.363677.peg.157	CDS	CP002976.1	155987	156367	2	+	381	LSU ribosomal protein L22p (L17e)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.158	CDS	CP002976.1	156367	157074	1	+	708	SSU ribosomal protein S3p (S3e)	Ribosome SSU bacterial	 	 
fig|6666666.363677.peg.159	CDS	CP002976.1	157087	157500	1	+	414	LSU ribosomal protein L16p (L10e)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.160	CDS	CP002976.1	158088	157621	-3	-	468	FIG00919029: hypothetical protein	- none -	 	 
fig|6666666.363677.peg.161	CDS	CP002976.1	158211	158831	3	+	621	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.162	CDS	CP002976.1	158899	159243	1	+	345	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.163	CDS	CP002976.1	159317	159691	2	+	375	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.164	CDS	CP002976.1	159897	160097	3	+	201	LSU ribosomal protein L29p (L35e)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.165	CDS	CP002976.1	160110	160340	3	+	231	SSU ribosomal protein S17p (S11e)	Ribosome SSU bacterial	 	 
fig|6666666.363677.peg.166	CDS	CP002976.1	160440	160808	3	+	369	LSU ribosomal protein L14p (L23e)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.167	CDS	CP002976.1	160811	161122	2	+	312	LSU ribosomal protein L24p (L26e)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.168	CDS	CP002976.1	161115	161678	3	+	564	LSU ribosomal protein L5p (L11e)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.169	CDS	CP002976.1	161697	162002	3	+	306	SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-independent	Ribosome SSU bacterial; <br>Ribosome SSU bacterial	 	 
fig|6666666.363677.peg.170	CDS	CP002976.1	162016	162408	1	+	393	SSU ribosomal protein S8p (S15Ae)	Ribosome SSU bacterial	 	 
fig|6666666.363677.peg.171	CDS	CP002976.1	162421	162954	1	+	534	LSU ribosomal protein L6p (L9e)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.172	CDS	CP002976.1	162966	163325	3	+	360	LSU ribosomal protein L18p (L5e)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.173	CDS	CP002976.1	163494	164060	3	+	567	SSU ribosomal protein S5p (S2e)	Ribosome SSU bacterial	 	 
fig|6666666.363677.peg.174	CDS	CP002976.1	164073	164261	3	+	189	LSU ribosomal protein L30p (L7e)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.175	CDS	CP002976.1	164274	164468	3	+	195	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.176	CDS	CP002976.1	164687	164469	-2	-	219	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.177	CDS	CP002976.1	166308	164896	-3	-	1413	Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)	CBSS-216591.1.peg.168; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis; <br>Threonine and Homoserine Biosynthesis	 	 
fig|6666666.363677.peg.178	CDS	CP002976.1	166389	167333	3	+	945	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.179	CDS	CP002976.1	167481	167696	3	+	216	protein of unknown function DUF1127	- none -	 	 
fig|6666666.363677.peg.180	CDS	CP002976.1	168856	168290	-1	-	567	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.181	CDS	CP002976.1	169093	169563	1	+	471	LSU ribosomal protein L15p (L27Ae)	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.182	CDS	CP002976.1	169674	171038	3	+	1365	Protein translocase subunit SecY	- none -	 	 
fig|6666666.363677.peg.183	CDS	CP002976.1	171035	171682	2	+	648	Adenylate kinase (EC 2.7.4.3)	Purine conversions	 	 
